2024-10-05 13:19:58 - __main__ - INFO - Fetching 500000 rows from Summary dataset
2024-10-05 13:21:40 - __main__ - INFO - Fetching 500000 rows from ContextBasedQuestions dataset
2024-10-05 13:22:56 - __main__ - INFO - Fetching 500000 rows from paraphrase dataset
2024-10-05 13:32:36 - __main__ - INFO - Fetching 50000 rows from Summary dataset
2024-10-05 13:35:02 - __main__ - INFO - Fetching 50000 rows from ContextBasedQuestions dataset
2024-10-05 13:36:41 - __main__ - INFO - Fetching 50000 rows from paraphrase dataset
2024-10-05 13:49:59 - __main__ - INFO - Fetching 50000 rows from Summary dataset
2024-10-05 13:51:35 - __main__ - INFO - Fetching 50000 rows from ContextBasedQuestions dataset
2024-10-05 13:52:40 - __main__ - INFO - Fetching 50000 rows from paraphrase dataset
2024-10-05 14:04:53 - __main__ - INFO - Model Name: ../Saved_Models/Sky/fine-tuned-bert-sentiment_2024_10_05_0
2024-10-05 14:04:53 - __main__ - INFO - Training Loss : []
2024-10-05 14:04:53 - __main__ - INFO - Validation Loss : []
2024-10-05 14:14:17 - __main__ - INFO - Batch Number : 1000, Training Loss : 1.603698657049642
2024-10-05 14:23:39 - __main__ - INFO - Batch Number : 2000, Training Loss : 1.5671086286318892
2024-10-05 14:32:59 - __main__ - INFO - Batch Number : 3000, Training Loss : 1.559437500739328
2024-10-05 14:42:20 - __main__ - INFO - Batch Number : 4000, Training Loss : 1.5575297067118299
2024-10-05 14:51:41 - __main__ - INFO - Batch Number : 5000, Training Loss : 1.5519082294276085
2024-10-05 15:01:02 - __main__ - INFO - Batch Number : 6000, Training Loss : 1.5507176011686543
2024-10-05 15:10:22 - __main__ - INFO - Batch Number : 7000, Training Loss : 1.5483103626167036
2024-10-05 15:19:43 - __main__ - INFO - Batch Number : 8000, Training Loss : 1.5462577020119257
2024-10-05 15:29:04 - __main__ - INFO - Batch Number : 9000, Training Loss : 1.5440842193797515
2024-10-05 15:38:26 - __main__ - INFO - Train loss 1.5413504323244094
2024-10-05 15:42:02 - __main__ - INFO - Validation loss 1.7185394352376462
2024-10-05 15:42:03 - __main__ - INFO - Model Saved
2024-10-05 15:42:03 - __main__ - INFO - Calculating Rouge Score of the model...
2024-10-05 15:42:04 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:04 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:04 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:05 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:05 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:06 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:06 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:07 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:07 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:07 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:08 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:08 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:08 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:09 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:10 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:10 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:10 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:11 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:11 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:12 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:12 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:13 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:13 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:13 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:15 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:17 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:17 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:18 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:18 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:18 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:19 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:19 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:19 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:20 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:20 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:21 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:21 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:21 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:22 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:22 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:23 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:23 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:24 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:24 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:24 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:25 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:25 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:25 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:26 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:26 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:26 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:27 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:27 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:28 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:28 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:28 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:28 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:29 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:29 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:30 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:30 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:30 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:32 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:32 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:33 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:33 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:34 - absl - INFO - Using default tokenizer.
2024-10-05 15:42:34 - absl - INFO - Using default tokenizer.
